Dataset,NCC-65,CDT-65,CMA-65,C-AODE-65,NCC-80,CDT-80,CMA-80,C-AODE-80,CMA-AODE-65,CMA-AODE-80,,anneal-weka.filters.unsup,0.7,0.99,0.98,0.98513,0.8,0.99,0.98,0.98513,0.43511,0.53359,,
wisconsin-breast-cancer-w,0.97,0.95,0.97,0.97148,0.97,0.95,0.97,0.9715,0.94461,0.95958,,
cmc-weka.filters.unsuperv,0.52,0.53,0.53,0.52359,0.53,0.54,0.55,0.52391,0.54445,0.57459,,
credit-ReplaceMissingValu,0.86,0.84,0.86,0.85941,0.87,0.85,0.86,0.85954,0.85725,0.88762,,
german_credit-weka.filter,0.76,0.71,0.76,0.75764,0.76,0.72,0.78,0.75792,0.75997,0.82358,,
pima_diabetes-weka.filter,0.78,0.77,0.78,0.78462,0.78,0.78,0.78,0.78497,0.79121,0.81268,,
ecoli-weka.filters.unsupe,0.85,0.83,0.84,0.83457,0.86,0.83,0.84,0.83457,0.84151,0.85876,,
Glass-weka.filters.unsupe,0.69,0.69,0.74,0.76278,0.73,0.7,0.74,0.76334,0.71044,0.75043,,
grub-damage-weka.filters.,0.5,0.39,0.38,0.38982,0.55,0.42,0.42,0.39135,0.38,0.42355,,
haberman-weka.filters.uns,0.75,0.76,0.72,0.75362,0.75,0.76,0.72,0.75686,0.75433,0.75614,,
hayes-roth-weka.filters.u,0.72,0.62,0.62,0.53987,0.84,0.64,0.64,0.54475,0.53722,0.53975,,
cleveland-14-heart-diseas,0.78,0.76,0.83,0.83188,0.79,0.77,0.84,0.83207,0.83376,0.86189,,
hungarian-14-heart-diseas,0.84,0.79,0.84,0.85101,0.84,0.79,0.84,0.85116,0.84547,0.86129,,
hepatitisReplaceMissingVa,0.85,0.84,0.86,0.85177,0.86,0.85,0.87,0.85226,0.86532,0.8929,,
hypothyroid-ReplaceMissin,0.94,0.99,0.99,0.98913,0.96,0.99,0.99,0.98913,0.83171,0.893,,
ionosphere-weka.filters.u,0.92,0.9,0.92,0.93339,0.92,0.91,0.92,0.93348,0.81267,0.88734,,
iris-weka.filters.unsuper,0.95,0.94,0.95,0.93687,0.95,0.94,0.95,0.93707,0.95273,0.95813,, 
kr-vs-kp-weka.filters.uns,0.88,0.99,0.88,0.89585,0.88,0.99,0.89,0.89586,0.8583,0.91545,,
labor.ReplaceMissingValue,0.94,0.85,0.94,0.95451,0.96,0.86,0.95,0.9553,0.92561,0.95606,,
liver-disorders-weka.filt,0.63,0.63,0.63,0.63188,0.63,0.63,0.64,0.63188,0.63188,0.63188,,
lymphography-weka.filters,0.72,0.75,0.83,0.85651,0.77,0.76,0.84,0.85692,0.77278,0.83695,,
monks1-tr-te-Reorder-weka,0.75,0.82,0.75,1,0.75,0.82,0.75,1,1,1,,
monks-2_reorder-weka.filt,0.62,0.67,0.66,0.64991,0.63,0.68,0.66,0.65133,0.59865,0.67088,,
monks3_Reorder-weka.filte,0.96,0.99,0.96,0.97345,0.96,0.99,0.96,0.97361,0.98475,0.98664,,
nursery-weka.filters.unsu,0.9,0.96,0.9,0.92598,0.9,0.96,0.9,0.92599,0.90778,0.93382,,
page-blocks-weka.filters.,0.94,0.96,0.94,0.96552,0.94,0.96,0.94,0.96552,0.58719,0.70296,,
pasture-production-weka.f,0.9,0.85,0.9,0.9793,0.93,0.86,0.91,0.9793,0.21318,0.28296,,
pendigits-weka.filters.un,0.88,0.88,0.89,0.64711,0.89,0.88,0.89,0.64978,0.63335,0.69689,,
segment-weka.filters.unsu,0.93,0.95,0.93,0.9632,0.93,0.95,0.93,0.9632,0.35725,0.45165,,
solar-flare-C-weka.filter,0.83,0.9,0.89,0.87695,0.85,0.9,0.89,0.87756,0.85116,0.8706,,
solar-flare-m-weka.filter,0.77,0.89,0.89,0.85987,0.81,0.89,0.9,0.86098,0.84461,0.86666,,
solar-flare-X-weka.filter,0.92,0.98,0.97,0.93545,0.94,0.98,0.97,0.94772,0.95049,0.96307,,
sonar-weka.filters.unsupe,0.85,0.77,0.85,0.85662,0.86,0.78,0.85,0.85749,0.83798,0.87589,,
tae-weka.filters.unsuperv,0.5,0.47,0.46,0.43462,0.55,0.47,0.55,0.43817,0.43625,0.44005,,
waveform-weka.filters.uns,0.81,0.75,0.81,0.86142,0.81,0.76,0.81,0.86148,0.68041,0.78633,,
white-clover-weka.filters,0.56,0.71,0.73,0.73716,0.67,0.71,0.74,0.74003,0.72395,0.79628,,
wine-Reorder-weka.filters,0.99,0.94,0.99,0.98317,0.99,0.95,0.99,0.98317,0.92264,0.95087,,
yeast-weka.filters.unsupe,0.6,0.59,0.59,0.59576,0.6,0.6,0.59,0.59577,0.58998,0.60815,,
zoo-weka.filters.unsuperv,0.91,0.95,0.97,0.96498,0.93,0.95,0.97,0.96513,0.65532,0.71609,,
 , , , ,, , , ,,,,,
