Dataset,NCC-65,CDT-65,CMA-65,C-AODE-65,NCC-80,CDT-80,CMA-80,C-AODE-80,CMA-AODE-65,CMA-AODE-80wisconsin-breast-cancer-w, cmc-weka.filters.unsuperv,0.52,0.53,0.53,0.52,0.53,0.54,0.55,0.52,0.54,0.57,
credit-ReplaceMissingValu,0.86,0.84,0.86,0.86,0.87,0.85,0.86,0.86,0.86,0.89,
german_credit-weka.filter,0.76,0.71,0.76,0.76,0.76,0.72,0.78,0.76,0.76,0.82,
pima_diabetes-weka.filter,0.78,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.81,
ecoli-weka.filters.unsupe,0.85,0.83,0.84,0.83,0.86,0.83,0.84,0.83,0.84,0.86,
Glass-weka.filters.unsupe,0.69,0.69,0.74,0.76,0.73,0.70,0.74,0.76,0.71,0.75,
grub-damage-weka.filters.,0.50,0.39,0.38,0.39,0.55,0.42,0.42,0.39,0.38,0.42,
haberman-weka.filters.uns,0.75,0.76,0.72,0.75,0.75,0.76,0.72,0.76,0.75,0.76,
hayes-roth-weka.filters.u,0.72,0.62,0.62,0.54,0.84,0.64,0.64,0.54,0.54,0.54,
cleveland-14-heart-diseas,0.78,0.76,0.83,0.83,0.79,0.77,0.84,0.83,0.83,0.86,
hungarian-14-heart-diseas,0.84,0.79,0.84,0.85,0.84,0.79,0.84,0.85,0.85,0.86,
hepatitisReplaceMissingVa,0.85,0.84,0.86,0.85,0.86,0.85,0.87,0.85,0.87,0.89,
hypothyroid-ReplaceMissin,0.94,0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.83,0.89,
ionosphere-weka.filters.u,0.92,0.90,0.92,0.93,0.92,0.91,0.92,0.93,0.81,0.89,
iris-weka.filters.unsuper,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.96,
kr-vs-kp-weka.filters.uns,0.88,0.99,0.88,0.90,0.88,0.99,0.89,0.90,0.86,0.92,
labor.ReplaceMissingValue,0.94,0.85,0.94,0.95,0.96,0.86,0.95,0.96,0.93,0.96,
liver-disorders-weka.filt,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63,0.63,
lymphography-weka.filters,0.72,0.75,0.83,0.86,0.77,0.76,0.84,0.86,0.77,0.84,
monks1-tr-te-Reorder-weka,0.75,0.82,0.75,1.00,0.75,0.82,0.75,1.00,1.00,1.00,
monks-2_reorder-weka.filt,0.62,0.67,0.66,0.65,0.63,0.68,0.66,0.65,0.60,0.67,
monks3_Reorder-weka.filte,0.96,0.99,0.96,0.97,0.96,0.99,0.96,0.97,0.98,0.99,
nursery-weka.filters.unsu,0.90,0.96,0.90,0.93,0.90,0.96,0.90,0.93,0.91,0.93,
page-blocks-weka.filters.,0.94,0.96,0.94,0.97,0.94,0.96,0.94,0.97,0.59,0.70,
pasture-production-weka.f,0.90,0.85,0.90,0.98,0.93,0.86,0.91,0.98,0.21,0.28,
pendigits-weka.filters.un,0.88,0.88,0.89,0.65,0.89,0.88,0.89,0.65,0.63,0.70,
segment-weka.filters.unsu,0.93,0.95,0.93,0.96,0.93,0.95,0.93,0.96,0.36,0.45,
solar-flare-C-weka.filter,0.83,0.90,0.89,0.88,0.85,0.90,0.89,0.88,0.85,0.87,
solar-flare-m-weka.filter,0.77,0.89,0.89,0.86,0.81,0.89,0.90,0.86,0.84,0.87,
solar-flare-X-weka.filter,0.92,0.98,0.97,0.94,0.94,0.98,0.97,0.95,0.95,0.96,
sonar-weka.filters.unsupe,0.85,0.77,0.85,0.86,0.86,0.78,0.85,0.86,0.84,0.88,
tae-weka.filters.unsuperv,0.50,0.47,0.46,0.43,0.55,0.47,0.55,0.44,0.44,0.44,
waveform-weka.filters.uns,0.81,0.75,0.81,0.86,0.81,0.76,0.81,0.86,0.68,0.79,
white-clover-weka.filters,0.56,0.71,0.73,0.74,0.67,0.71,0.74,0.74,0.72,0.80,
wine-Reorder-weka.filters,0.99,0.94,0.99,0.98,0.99,0.95,0.99,0.98,0.92,0.95,
yeast-weka.filters.unsupe,0.60,0.59,0.59,0.60,0.60,0.60,0.59,0.60,0.59,0.61,
zoo-weka.filters.unsuperv,0.91,0.95,0.97,0.96,0.93,0.95,0.97,0.97,0.66,0.72,
anneal-weka.filters.unsup,0.70,0.99,0.98,0.99,0.80,0.99,0.98,0.99,0.44,0.53,
